Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
10:35:50,07-10-2022,8331196922,7390946087,774.18,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:35:53,07-10-2022,7311441430,4362242478,8364.55,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:35:54,07-10-2022,9139420948,4473064900,1877.56,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:35:55,07-10-2022,6846270694,855729452,3166.12,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
10:36:00,07-10-2022,374414130,3220735304,10463.94,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
10:36:01,07-10-2022,9239631224,3274570726,13230.72,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:36:04,07-10-2022,2004133484,3079818547,8095.66,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
10:36:04,07-10-2022,8723924487,8381540882,3839.09,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:36:04,07-10-2022,6533102627,9092261147,4731.86,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
10:36:05,07-10-2022,1203252958,8500212178,2438.3,UK pounds,Mexican Peso,UK,Mexico,Cross-border,0,Normal_Group
10:36:07,07-10-2022,4021161031,979819164,3293.28,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:36:08,07-10-2022,5126390175,8518184956,5828.8,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
10:36:09,07-10-2022,1074336451,855832934,2299.29,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:36:13,07-10-2022,8389148416,721717864,16974.63,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
10:36:14,07-10-2022,3510078932,9418077278,9766.13,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
10:36:15,07-10-2022,8204380961,4816555386,3615.93,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:36:18,07-10-2022,936440682,4336977506,7405.41,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
10:36:23,07-10-2022,8410434333,8518184956,10960.64,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
10:36:31,07-10-2022,4082552798,4173195094,11974.68,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
10:36:34,07-10-2022,7669236826,6044424887,8560.28,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
10:36:35,07-10-2022,1008340236,339701644,2868.46,UK pounds,Indian rupee,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:36:36,07-10-2022,1445991735,8941775586,33322.12,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:36:37,07-10-2022,757928908,6083019593,1626.05,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
10:36:45,07-10-2022,109525315,8518184956,38707.49,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
10:36:48,07-10-2022,3696248769,3364557136,327.9,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:36:55,07-10-2022,5982914936,7950918410,10131.3,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
10:36:57,07-10-2022,7541983570,3613886607,2100.74,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:36:59,07-10-2022,6517611333,7936590626,10623.2,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:37:05,07-10-2022,5896510161,1377603863,7603.2,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
10:37:07,07-10-2022,7012967496,6855935396,5468.75,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
10:37:08,07-10-2022,8952177221,6424463145,12682.06,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
10:37:10,07-10-2022,3452368468,3828135271,5594.78,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
10:37:15,07-10-2022,9119143782,1576773608,4568.89,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
10:37:15,07-10-2022,35328673,1794595555,652.29,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:37:18,07-10-2022,3050015080,3706844167,153.8,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
10:37:19,07-10-2022,8365941229,6444220418,8350.59,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
10:37:19,07-10-2022,6979398786,8494600637,4911.78,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
10:37:21,07-10-2022,1877205049,2016944900,4249.69,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
10:37:23,07-10-2022,2206902878,5109623450,9831.65,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
10:37:27,07-10-2022,512171500,8669661419,614.89,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:37:29,07-10-2022,2797271466,5914713322,10918.76,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
10:37:30,07-10-2022,3967122805,1493436023,5300.52,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
10:37:35,07-10-2022,8456279067,4358275767,13106.42,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
10:37:41,07-10-2022,7189128119,4344504728,17651.63,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:37:42,07-10-2022,1294695860,5951743151,5795.55,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:37:45,07-10-2022,8695107817,2532987287,1334.75,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:37:49,07-10-2022,6949764034,1612314007,14303.33,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Periodical
10:37:50,07-10-2022,3510078932,8722924810,8067.61,UK pounds,Albanian lek,UK,Albania,Cross-border,0,Normal_Fan_Out
10:37:56,07-10-2022,7758268667,4389103342,9354.87,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
10:38:01,07-10-2022,4036316426,7643602388,7377.8,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:38:02,07-10-2022,6431038386,4336977506,12831.3,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
10:38:02,07-10-2022,4339554565,6061705491,1360.82,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:38:04,07-10-2022,1710329832,8172080174,5308.47,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
10:38:07,07-10-2022,7402947955,1462289205,5536.81,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:38:07,07-10-2022,2939856893,2633911782,2563.16,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:38:09,07-10-2022,7758268667,9940921949,9099.99,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
10:38:13,07-10-2022,2797271466,4528663768,7369.79,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
10:38:16,07-10-2022,3168051873,999810092,11367.9,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
10:38:19,07-10-2022,4712930207,1493436023,13408.68,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
10:38:20,07-10-2022,8188003704,6983898031,20662.11,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:38:24,07-10-2022,6375216043,3466136919,333.17,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:38:25,07-10-2022,3139337800,8817936053,3223.47,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Foward
10:38:28,07-10-2022,3137540462,5061861850,734.2,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
10:38:29,07-10-2022,5021785800,737679962,4542.44,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
10:38:31,07-10-2022,1429354049,4702471426,284.79,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:38:31,07-10-2022,3486760473,8468601858,1485.01,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:38:31,07-10-2022,5811321937,2032222230,241.18,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:38:31,07-10-2022,1074859180,5363117119,17413.99,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
10:38:31,07-10-2022,6904668523,9408376441,7883.3,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
10:38:36,07-10-2022,2422360624,1908962398,2407.26,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:38:41,07-10-2022,2056215656,4183747352,2567.43,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:38:46,07-10-2022,3345407297,2189418125,7901.92,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:38:46,07-10-2022,4150879707,409707192,10663.14,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
10:38:47,07-10-2022,9746384104,6333926499,13185.36,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
10:38:50,07-10-2022,6516739348,3787011727,8985.37,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:38:53,07-10-2022,4808614002,7669085919,1740.32,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
10:38:58,07-10-2022,1769527701,4308380343,441.4,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:38:58,07-10-2022,2434664247,6807695942,204.92,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:39:00,07-10-2022,3605396496,3253303398,920.78,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:39:01,07-10-2022,9093411280,6233217293,1511.01,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
10:39:02,07-10-2022,7978501298,1518359693,4907.9,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:39:02,07-10-2022,7207395469,1316458123,7592.37,UK pounds,Mexican Peso,UK,Mexico,Cross-border,0,Normal_Fan_In
10:39:07,07-10-2022,8411678470,3737860098,195.15,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
10:39:07,07-10-2022,5531320907,1874873588,1124.83,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:39:10,07-10-2022,715130861,22101185,87.71,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
10:39:12,07-10-2022,8820389620,4336977506,7372.69,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
10:39:12,07-10-2022,4773187916,9676051307,2861.28,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:39:16,07-10-2022,9200802467,1377603863,5407.95,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
10:39:25,07-10-2022,3582202830,7930477918,4421.11,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:39:26,07-10-2022,5704632509,1800634135,866.17,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
10:39:26,07-10-2022,4834399445,426367626,1317.54,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:39:27,07-10-2022,7132630507,6793730660,498.11,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:39:33,07-10-2022,9734083970,9232891126,7167.41,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
10:39:35,07-10-2022,2283755888,6034997194,6508.48,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
10:39:37,07-10-2022,7166671719,4145866625,7202.85,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:39:40,07-10-2022,6577066451,4143157809,5452.16,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Periodical
10:39:40,07-10-2022,7758268667,301740914,8905.98,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
10:39:48,07-10-2022,9334364016,7892884492,5230.59,UK pounds,US dollar,UK,USA,Cross-border,0,Normal_Fan_In
10:39:48,07-10-2022,5935592628,1224735825,3471.41,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
10:39:50,07-10-2022,5931838828,8407065812,16594.14,UK pounds,Turkish lira,UK,Turkey,Cross-border,0,Normal_Periodical
10:39:53,07-10-2022,6488884693,4471666696,20181.46,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
10:39:59,07-10-2022,283212952,5103043844,9071.89,UK pounds,Naira,UK,Nigeria,Cross-border,0,Normal_Fan_In
10:39:59,07-10-2022,5102544036,5109623450,6903.24,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
10:40:01,07-10-2022,6539698859,9999156867,492.45,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
10:40:02,07-10-2022,3033453299,5858369125,20756.93,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
10:40:04,07-10-2022,3991935033,6916537719,2329.58,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:40:05,07-10-2022,2740260267,674433873,2747.96,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
10:40:08,07-10-2022,7501327339,9329185542,29600.19,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
10:40:10,07-10-2022,6116657264,7541529999,5736.78,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
10:40:10,07-10-2022,6904668523,9408376441,8096.81,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
10:40:11,07-10-2022,5648718332,6444220418,11277.45,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
10:40:13,07-10-2022,3756980894,3144680752,1174.69,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:40:13,07-10-2022,1817675963,6646502650,14554.35,UK pounds,Euro,UK,France,Cross-border,0,Normal_Fan_In
10:40:13,07-10-2022,8955442183,5858369125,5971.82,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
10:40:15,07-10-2022,749315581,8673917867,8592.81,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
10:40:17,07-10-2022,4755772092,7092971860,5130.2,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
10:40:19,07-10-2022,3811561430,4336977506,7895.67,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
10:40:20,07-10-2022,7470940363,8095203071,24267.62,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:40:20,07-10-2022,1054167985,324741137,9684.43,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
10:40:22,07-10-2022,2865517114,9180546856,127.23,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
10:40:24,07-10-2022,691501298,3866748777,153.54,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
10:40:24,07-10-2022,2797271466,1856317214,6052.95,UK pounds,Mexican Peso,UK,UK,ACH,0,Normal_Fan_Out
10:40:25,07-10-2022,9986667984,8984696396,3327.21,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:40:26,07-10-2022,3776976361,8774487578,6713.21,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:40:26,07-10-2022,8854146908,9600420220,5100.69,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
10:40:26,07-10-2022,3711169500,8115468745,5308.98,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:40:31,07-10-2022,6626359609,9024705045,547.39,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:40:32,07-10-2022,8770181801,8926941188,1818.3,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:40:34,07-10-2022,5345734817,4270865741,7081.8,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
10:40:35,07-10-2022,3373148945,6034997194,21465.47,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
10:40:36,07-10-2022,8952177221,4447848214,8024.41,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
10:40:38,07-10-2022,6997024826,5279552599,2970.67,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:40:42,07-10-2022,9402994493,3112794089,7748.63,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
10:40:46,07-10-2022,5874369285,4203316413,22445.59,Albanian lek,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:40:48,07-10-2022,2644081947,5274970619,2010.34,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:40:48,07-10-2022,5435316010,3362765079,3385.16,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
10:40:49,07-10-2022,6057444675,8237840407,7653.44,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
10:40:49,07-10-2022,6541552727,2284368563,8978.63,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
10:40:54,07-10-2022,9125487514,9309476509,810.62,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:40:56,07-10-2022,7032135509,6698865290,1224.27,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
10:40:57,07-10-2022,4431474237,8881785263,1448.33,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
10:40:58,07-10-2022,3238526156,1465487567,21163.2,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
10:41:00,07-10-2022,9746384104,389486199,7049.42,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
10:41:00,07-10-2022,6970509335,5828577622,1447.11,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:41:03,07-10-2022,1805171806,1465487567,5931.99,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
10:41:03,07-10-2022,1382513766,6444220418,8515.25,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
10:41:03,07-10-2022,6541552727,5240847125,6193.99,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
10:41:04,07-10-2022,3742406978,2329119204,10689.25,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:41:04,07-10-2022,2797271466,4525312913,12942.48,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
10:41:06,07-10-2022,4390278719,8172080174,25562.2,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
10:41:15,07-10-2022,5740702951,4228245786,12049.23,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:41:16,07-10-2022,6904668523,1140410616,5021.1,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
10:41:17,07-10-2022,1378784400,6533060638,5110.2,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
10:41:19,07-10-2022,4090925094,3516473411,17372.61,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:41:19,07-10-2022,2365007895,835293711,4702.76,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
10:41:20,07-10-2022,1730350525,4336977506,7193.69,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
10:41:21,07-10-2022,9734083970,4117514495,4863.13,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
10:41:23,07-10-2022,2199795388,1377603863,9485.6,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
10:41:24,07-10-2022,3396853729,4293580479,25963.39,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
10:41:24,07-10-2022,9649321106,5109623450,7886.78,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
10:41:26,07-10-2022,5188677620,8172080174,7839.89,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
10:41:31,07-10-2022,3243896688,333166301,2647.06,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:41:31,07-10-2022,9390718271,5933990094,99.16,UK pounds,Swiss franc,UK,Switzerland,Cross-border,0,Normal_Small_Fan_Out
10:41:31,07-10-2022,3808941319,6283707826,1400.65,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
10:41:33,07-10-2022,8372035568,4270865741,5826.8,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
10:41:36,07-10-2022,4438681315,882959224,1401.84,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:41:37,07-10-2022,9432190883,747469164,557.13,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:41:40,07-10-2022,7998453354,9600841582,836.76,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:41:41,07-10-2022,7258656047,1377603863,10264.62,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
10:41:41,07-10-2022,2365007895,2127570174,11742.77,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
10:41:42,07-10-2022,6592322340,2115081579,2702.26,Swiss franc,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:41:43,07-10-2022,9239631224,9700169638,6386.85,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:41:45,07-10-2022,4874746643,1869412992,4387.99,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:41:48,07-10-2022,3712660061,2534644942,23161.44,UK pounds,Euro,UK,France,Cross-border,0,Normal_Fan_In
10:41:50,07-10-2022,7877782689,1726009446,6614.91,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:41:53,07-10-2022,1491989064,9460624653,12782.41,UK pounds,Euro,UK,Spain,Cross-border,0,Normal_Fan_Out
10:41:55,07-10-2022,6596655355,5542800888,444.73,UK pounds,Euro,UK,Italy,Cross-border,0,Normal_Small_Fan_Out
10:41:58,07-10-2022,5404023576,3036452508,582.28,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:42:00,07-10-2022,9098323112,2121295948,18284.95,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:42:01,07-10-2022,4358383639,6953672776,7696.15,UK pounds,Mexican Peso,UK,Mexico,Cross-border,0,Normal_Fan_In
10:42:03,07-10-2022,4548607254,1060451637,1209.21,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:42:04,07-10-2022,7330940854,1320927231,4625.74,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
10:42:06,07-10-2022,6904668523,2361327503,7526.19,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
10:42:08,07-10-2022,1491989064,2482957386,26553.78,Pakistani rupee,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
10:42:08,07-10-2022,128336607,6953672776,9544.33,UK pounds,Mexican Peso,UK,Mexico,Cross-border,0,Normal_Fan_In
10:42:10,07-10-2022,2466056232,8352571580,14689.65,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
10:42:13,07-10-2022,4988967549,6715341584,732.68,Albanian lek,Albanian lek,Albania,Albania,Debit card,0,Normal_Small_Fan_Out
10:42:14,07-10-2022,1319704443,6839247924,536.23,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:42:14,07-10-2022,5982914936,1509557999,15793.52,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
10:42:16,07-10-2022,1448960940,2939719836,4502.75,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:42:16,07-10-2022,7837354873,2534644942,7944.21,UK pounds,Euro,UK,France,Cross-border,0,Normal_Fan_In
10:42:17,07-10-2022,6904169843,4270865741,6124.4,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
